,Player,Year,active_to,Agility,Sprint,Body Fat,Bench,Weight,Height (No Shoes),Vertical (Max Reach),Vertical (No Step Reach),big_man,Years_Played,Expected_Output,Weight_by_Height,Weight_by_BF,Height_by_BF,WBF_by_H
0,Blake Griffin,2009,2018,10.95,3.28,8.2,22.0,248.0,80.5,140.5,137.0,1,9,1,3.080745341614907,30.243902439024392,9.817073170731708,0.2526211180124223
1,Terrence Williams,2009,2013,11.15,3.18,5.1,9.0,213.0,77.0,140.5,134.0,1,4,0,2.7662337662337664,41.76470588235294,15.098039215686276,0.14107792207792208
3,Gerald Henderson,2009,2017,11.17,3.14,4.4,8.0,215.0,76.0,137.5,134.0,0,8,1,2.8289473684210527,48.86363636363636,17.27272727272727,0.12447368421052633
4,Tyler Hansbrough,2009,2016,11.12,3.27,8.5,18.0,234.0,80.25,140.0,133.5,1,7,1,2.9158878504672896,27.529411764705884,9.441176470588236,0.24785046728971963
5,Earl Clark,2009,2015,11.17,3.35,5.2,5.0,228.0,80.5,142.5,138.0,1,6,1,2.8322981366459627,43.84615384615385,15.48076923076923,0.14727950310559007
6,Austin Daye,2009,2015,12.11,3.55,5.5,6.949408330786427,192.0,81.75,138.0,135.0,1,6,1,2.3486238532110093,34.90909090909091,14.863636363636363,0.1291743119266055
7,James Johnson,2009,2018,11.21,3.23,12.0,18.0,257.0,79.0,140.5,136.0,1,9,1,3.2531645569620253,21.416666666666668,6.583333333333333,0.390379746835443
8,Jrue Holiday,2009,2018,10.64,3.21,6.3,6.0,199.0,75.25,134.5,129.0,0,9,1,2.644518272425249,31.58730158730159,11.944444444444445,0.16660465116279072
9,Ty Lawson,2009,2017,10.98,3.12,6.6,14.0,197.0,71.25,131.0,123.5,0,8,1,2.7649122807017545,29.84848484848485,10.795454545454547,0.1824842105263158
10,Ty Lawson,2008,2017,11.03798168887917,3.1780474652676545,5.6,14.0,195.0,70.75,131.50415786386813,124.92399954212456,0,9,1,2.756183745583039,34.82142857142858,12.633928571428573,0.15434628975265016
11,Jeff Teague,2009,2018,11.05,3.18,4.5,13.0,175.0,72.25,135.0,129.0,0,9,1,2.422145328719723,38.888888888888886,16.055555555555557,0.10899653979238755
